2011,2012,2013,2014,2015,2016,station,lines,controlled,lat,long
1805956,1690851,1752108,1746438,2111790,753493,Pennsylvania    Av,3,PennsylvaniaAv,40.664635,-73.894895
1133831,1142008,1216019,1221048,1243976,1226582,President St,2 5,PresidentSt,40.667883,-73.950683
1930101,1864725,1826064,1827271,1785990,1758711,Prospect Av,R,ProspectAv,40.665414,-73.992872
2815199,2892200,3190679,3312727,3327301,3272810,Prospect Park,B Q S,ProspectPark,40.661614,-73.962246
1585546,1625548,1719602,1787157,1867793,1863036,Ralph Av,C,RalphAv,40.678822,-73.920786
1792136,1682755,1753354,1763824,526505,1534978,Rockaway Av,3,RockawayAv,40.67834,-73.911946
1548571,1574733,1615457,1641268,1721297,1786802,Rockaway Av,C,RockawayAv,40.67834,-73.911946
1743578,1676421,1777399,1791700,2442282,1208956,Saratoga Av,3,SaratogaAv,40.661453,-73.916327
4096449,4148629,4205275,4201776,4296566,4322837,Sheepshead    Bay,B Q,SheepsheadBay,40.586896,-73.954155
930613,945113,988620,1027404,1059106,1059144,Shepherd Av,C,ShepherdAv,40.67413,-73.88075
577571,0,926087,1539209,1636221,1533167,Smith-9 Sts,F G,Smith-9Sts,40.67358,-73.995959
1787824,1803628,1866122,1785975,1822524,1805238,Sterling St,2 5,SterlingSt,40.662742,-73.95085
1303422,1383957,1449524,1499122,1453567,1435112,Sutter Av,L,SutterAv,40.669367,-73.901975
2370949,2288256,2419794,2467381,2420464,2035027,Sutter    Av-Rutland Rd,3,SutterAv-RutlandRd,40.664717,-73.92261
2228520,2148505,2058555,2065047,2073096,2024863,Union St,R,UnionSt,40.677316,-73.98311
4437282,4530536,4726582,4878678,5060099,5152649,Utica Av,A C,UticaAv,40.679364,-73.930729
1061359,1016466,1060055,1048755,304082,1250237,Van Siclen Av,3,VanSiclenAv,40.678024,-73.891688
901530,897528,941172,967947,1019100,1017779,Van Siclen Av,C,VanSiclenAv,40.678024,-73.891688
886663,893665,913115,943663,966461,983370,Van Siclen Av,J Z,VanSiclenAv,40.678024,-73.891688
1093030,1115994,1243700,1393045,1407098,1219239,Wilson Av,L,WilsonAv,40.688764,-73.904046
2173945,2171267,2275444,2263671,2241716,2146809,Winthrop St,2 5,WinthropSt,40.656652,-73.9502
2251649,2344141,2666502,2760385,2900416,3286640,York St,F,YorkSt,40.701397,-73.986751
7050336,7296576,7735905,8111070,7702110,7660896,1 Av,L,1Av,40.730953,-73.981628
4302101,4366343,4427199,4199559,4258632,4290142,103 St,1,103St,40.796092,-73.961454
4901637,4861001,5038138,5198601,4031201,4336922,103 St,6,103St,40.796092,-73.961454
1453267,1472319,1528633,1555514,1521132,1481660,103 St,B C,103St,40.796092,-73.961454
3771563,3740549,3841826,3955522,4209449,4196711,110 St,6,110St,40.79502,-73.94425
3439949,3584234,3715803,3845140,3948545,3874037,116 St,2 3,116St,40.805085,-73.954882
5253753,5264035,5347692,5370343,5324072,5336694,116 St,6,116St,40.805085,-73.954882
1944599,2000033,2122084,2234662,2246138,2276196,116 St,B C,116St,40.805085,-73.954882
4932065,4942022,5044561,4917691,4846181,4797152,116 St-Columbia University,1,116St-ColumbiaUniversity,40.807722,-73.96411
2438449,2560513,2649847,2578729,2555321,2524125,125 St,1,125St,40.811109,-73.952343
4518487,4635697,4917465,5103216,5121518,4989981,125 St,2 3,125St,40.811109,-73.952343
8868272,8965496,9290210,9574765,9586567,9431163,125 St,4 5 6,125St,40.811109,-73.952343
8173608,8427453,8932680,9342667,9558837,9603878,125 St,A B C D,125St,40.811109,-73.952343
4344677,4477110,4672352,4932623,4949583,4867017,135 St,2 3,135St,40.817894,-73.947649
1575802,1633467,1722204,1731602,1693561,1731460,135 St,B C,135St,40.817894,-73.947649
4546654,4634498,4825267,4542044,4646578,4564432,137 St-City College,1,137St-CityCollege,40.822008,-73.953676
34927178,34639575,35309414,35677468,35320623,34289822,14 St-Union Sq,L N Q R W 4 5 6,14St-UnionSq,40.735736,-73.990568
3138419,3289827,3274106,3364151,3338110,3328994,145 St,1,145St,40.824783,-73.944216
981914,1014623,1073259,1114674,1137484,1086105,145 St,3,145St,40.824783,-73.944216
6948193,7048936,7432177,7778992,7923696,7949593,145 St,A B C D,145St,40.824783,-73.944216
1248295,1257551,1281168,1299098,1306282,1308981,155 St,B D,155St,40.830518,-73.941514
792465,798881,822333,852716,842826,881431,155 St,C,155St,40.830518,-73.941514
3259408,3381015,3458058,3481873,3516545,3542519,157 St,1,157St,40.834041,-73.94489
1221336,1230018,1317493,1390615,1395260,1450668,163    St-Amsterdam Av,C,163St-AmsterdamAv,40.836013,-73.939892
7500154,7503282,7884456,8090476,8009233,8217661,168 St,A C 1,168St,40.840719,-73.939561
4029936,4028015,4154792,4187473,4197373,4049645,175 St,A,175St,40.847391,-73.939704
2497134,2533877,2585522,2622558,2676304,2687128,18 St,1,18St,40.74104,-73.997871
3171483,3496979,3608658,3751020,3779275,3772385,181 St,1,181St,40.851695,-73.937969
3245786,3242555,3309493,3456161,3628174,3459170,181 St,A,181St,40.851695,-73.937969
1445656,1473807,1472564,1458911,1530460,1460194,190 St,A,190St,40.859022,-73.93418
2318562,2512719,2598961,2700904,2713440,2730419,191 St,1,191St,40.855225,-73.929412
5728217,5706955,5999079,5772265,5847710,5772537,2 Av,F,2Av,40.723402,-73.989938
2054287,2205288,1966949,2049587,2090297,2148169,207 St,1,207St,40.864621,-73.918822
583486,599790,638224,626312,615177,636441,215 St,1,215St,40.869444,-73.915279
4622230,4654520,4818903,4883773,4884678,4703374,23 St,1,23St,40.741303,-73.989344
8999142,8901705,9200337,9033835,8627481,8539378,23 St,6,23St,40.741303,-73.989344
7001778,7155940,7629811,7923005,7844508,7543246,23 St,C E,23St,40.741303,-73.989344
7911886,8078511,8446249,8678810,8942154,8989195,23 St,F M,23St,40.741303,-73.989344
6659479,6805210,6905704,7348879,7965410,8151328,23 St,W R,23St,40.741303,-73.989344
4093901,4346501,4548738,4666347,4665377,4544976,28 St,1,28St,40.745494,-73.988691
6741400,6688570,7076992,7107083,7214293,7161164,28 St,6,28St,40.745494,-73.988691
3297714,3413315,3520209,3796977,4083143,4205109,28 St,W R,28St,40.745494,-73.988691
2048408,2182023,2310062,2473561,2386533,2449392,3 Av,L,3Av,40.732849,-73.986122
9220240,9374676,9756409,9798598,9701723,9577123,33 St,6,33St,40.746081,-73.982076
26758623,27010176,27730331,28638643,28309160,27741367,34 St-Penn    Station,1 2 3,34St-PennStation,40.752287,-73.993391
24751771,24851746,25726374,26493571,26147434,25183869,34 St-Penn    Station,A C E,34St-PennStation,40.752287,-73.993391
8121552,8186576,8155010,8544694,8029988,8754627,49 St,N W R,49St,40.759901,-73.984139
7647852,7927578,8074270,8450496,8266677,8157242,50 St,1,50St,40.63626,-73.994791
5573587,5714183,6259935,6867521,6826275,6778797,50 St,C E,50St,40.63626,-73.994791
4630781,4408190,4520733,4603639,4720245,4821309,57 St,F,57St,40.763972,-73.97745
8613792,8726980,8945751,9314649,9512090,9616547,57 St-7 Av,N Q R W,57St-7Av,40.764664,-73.980658
21300892,21599586,22774421,23566961,23299666,23203443,59    St-Columbus Circle,A B C D 1,59St-ColumbusCircle,40.768296,-73.981736
7089390,7367599,7527781,7772308,7790234,7606975,66 St-Lincoln    Center,1,66St-LincolnCenter,40.77344,-73.982209
10481234,10373302,10520477,10545971,10237854,10124694,68 St-Hunter    College,6,68St-HunterCollege,40.768141,-73.96387
4297779,4384090,4744808,5092341,5252615,5162589,7 Av,B D E,7Av,40.67705,-73.972367
12784301,13043031,13456906,13375012,13341361,13257766,72 St,1 2 3,72St,40.775594,-73.97641
2787379,2832934,2942517,3015722,2979236,2921892,72 St,B C,72St,40.775594,-73.97641
11163007,11109431,11167386,11454604,11014861,10927200,77 St,6,77St,40.629742,-74.02551
5330857,5292422,5438078,5601595,5534255,5371624,79 St,1,79St,40.613501,-74.00061
4116976,4232404,4477625,4561347,4584041,4517912,81 St-Museum    of Natural History,B C,81St-MuseumofNaturalHistory,40.781433,-73.972143
6128225,6219513,6333352,6519979,6464625,6359252,86 St,1,86St,40.622687,-74.028398
19425347,19686985,20528208,20735032,20890828,20337593,86 St,4 5 6,86St,40.622687,-74.028398
3238616,3300644,3408922,3515551,3474343,3478317,86 St,B C,86St,40.622687,-74.028398
11784341,12108040,12582947,13108304,13008596,12700397,96 St,1 2 3,96St,40.791642,-73.964696
7753114,7708346,7785646,7958453,8294978,8004488,96 St,6,96St,40.791642,-73.964696
2775904,2829949,2979535,3089701,3084906,3044779,96 St,B C,96St,40.791642,-73.964696
991686,968629,970576,1057000,1184920,1223959,Bowery,J Z,Bowery,40.72028,-73.993915
7793614,7990789,9081649,10261064,9153462,8870811,Bowling Green,4 5,BowlingGreen,40.704817,-74.014065
1473717,1315012,1436506,1662905,1834780,2064292,Broad St,J Z,BroadSt,40.706476,-74.011056
1785923,1727415,1787110,1859071,1830920,1801063,Canal St,1,CanalSt,40.719527,-74.001775
5646937,5612068,5922371,6013138,6011243,5753945,Canal St,A C E,CanalSt,40.719527,-74.001775
15577018,15529659,15227139,15104077,15094135,15274896,Canal St,J N Q R W Z 6,CanalSt,40.719527,-74.001775
6554728,6603287,6755281,6973674,7054771,6948976,Chambers St,1 2 3,ChambersSt,40.713243,-74.003401
3471186,3435088,3433544,3480159,3363949,3307136,Christopher    St-Sheridan Sq,1,ChristopherSt-SheridanSq,40.733422,-74.002906
2627822,2094122,1560414,1151646,1828806,1977733,City Hall,R W,CityHall,40.713282,-74.006978
0,0,0,0,0,0,Cortlandt St,1,CortlandtSt,40.710668,-74.011029
1640638,2062289,1601732,1500040,2713532,4270036,Cortlandt St,R W,CortlandtSt,40.710668,-74.011029
1212678,1231954,2094538,2298848,2317843,2410021,Dyckman St,1,DyckmanSt,40.865491,-73.927271
2326780,2344316,2112706,2158170,2244154,2135271,Dyckman St,A,DyckmanSt,40.865491,-73.927271
4057707,4021679,4208654,4379909,4576662,4752739,East Broadway,F,EastBroadway,40.713715,-73.990173
1777323,1714218,1703889,1745841,1731354,1782203,Franklin St,1,FranklinSt,40.719318,-74.006886
17971983,17868334,18721694,20102397,21671684,25162937,Fulton St,A C J Z 2 3 4 5,FultonSt,40.710374,-74.007582
42795505,42984249,44893301,46074652,46737564,46121509,Grand    Central-42 St,S 4 5 6 7,GrandCentral-42St,40.751776,-73.976848
7770139,7658249,7994060,8131543,8010864,7942505,Grand St,B D,GrandSt,40.711926,-73.94067
1101666,1110842,1171372,1209633,1269910,1220407,Harlem-148 St,3,Harlem-148St,40.82388,-73.93647
4225089,4287926,4510538,4562690,4377409,4375993,Houston St,1,HoustonSt,40.728251,-74.005367
3079573,2795992,2897438,2981271,3068931,2904915,Inwood-207 St,A,Inwood-207St,40.868072,-73.919899
20377141,20628942,21282767,21557198,21407792,21000635,Lexington Av    /59 St,N W R 4 5 6,LexingtonAv/59St,40.76266,-73.967258
1476489,1721707,1725406,1846582,1809998,1777035,Marble    Hill-225 St,1,MarbleHill-225St,40.874561,-73.909831
5603783,5508110,5209433,5311765,5386641,5314922,Prince St,W R,PrinceSt,40.724329,-73.997702
2636681,3055453,3398383,3393420,3042815,2805381,Rector St,1,RectorSt,40.70722,-74.013342
2413512,2053706,1524110,1116833,1896968,2038348,Rector St,R W,RectorSt,40.70722,-74.013342
2114468,2026567,1948925,1870476,1966493,2110471,Roosevelt    Island,F,RooseveltIsland,40.759145,-73.95326
3887184,3999949,4123703,4169799,3804403,3792870,Spring St,6,SpringSt,40.726227,-74.003739
3589809,3718956,3874428,3965206,3782314,3744702,Spring St,C E,SpringSt,40.726227,-74.003739
7016078,7034940,7473489,7845023,7650853,7689447,Wall St,2 3,WallSt,40.706821,-74.0091
6526692,6658687,7231884,7437325,6708745,6148384,Wall St,4 5,WallSt,40.706821,-74.0091
6095306,6130376,6314870,6464627,6527196,6504644,103 St-Corona Plaza,7,103St-CoronaPlaza,40.749865,-73.8627
523212,507774,516000,388144,538400,626547,104 St,A,104St,40.695178,-73.84433
782115,755193,779537,827890,841545,850903,104 St,J Z,104St,40.695178,-73.84433
3494533,3473313,3607926,3659225,3699843,3753756,111 St,7,111St,40.697418,-73.836345
798886,796622,795820,802831,767647,561857,111 St,A,111St,40.697418,-73.836345
805590,764882,780300,802275,812055,805255,111 St,J,111St,40.697418,-73.836345
694567,664855,688985,766469,788674,794687,121 St,J Z,121St,40.700492,-73.828294
2781001,2759602,2834112,2854274,2858542,2787763,169 St,F,169St,40.71047,-73.793604
364597,469173,422616,427353,533529,580065,21 St,G,21St,40.744065,-73.949724
2707275,2654261,2631860,2683624,2884831,3009540,21    St-Queensbridge,F,21St-Queensbridge,40.754203,-73.942836
4340888,4622323,4776709,4808350,4745260,4694548,30 Av,N W,30Av,40.766779,-73.921479
2246477,2412794,2462645,2439630,2394564,2343925,36 Av,N W,36Av,40.756804,-73.929575
1238985,1257059,1278109,1307054,1339754,1355271,36 St,M R,36St,40.655144,-74.003549
823763,930291,1012381,1104375,1072026,1016809,39 Av,N W,39Av,40.752882,-73.932755
2964965,2978233,3014082,3021219,2956981,2904517,46 St,M R,46St,40.756312,-73.913333
2117202,2138307,2182725,2214115,2177884,2131770,52 St,7,52St,40.744149,-73.912549
4891415,4998378,5129203,5272014,5244226,5219811,63 Dr-Rego    Park,M R,63Dr-RegoPark,40.729846,-73.861604
1098734,1131591,1124823,1159576,1192281,1183534,65 St,M R,65St,40.749669,-73.898453
2791494,2770364,2818350,2851905,2853794,2807769,67 Av,M R,67Av,40.726523,-73.852719
1649055,1647057,1671584,1685222,1629526,1643806,69 St,7,69St,40.746325,-73.896403
1171380,1130707,1155836,1131705,1136305,1102600,75 Av,E F,75Av,40.718331,-73.837324
1283827,1294099,1310413,1507116,1465264,1098234,80 St,A,80St,40.679371,-73.858992
5163208,5013810,5139172,5172595,5128506,5089971,82 St-Jackson    Hts,7,82St-JacksonHts,40.747659,-73.883697
1138842,1125639,1157863,1212661,1239793,1237770,85 St-Forest    Pkwy,J,85St-ForestPkwy,40.692435,-73.86001
805054,792615,808822,613296,1011163,952251,88 St,A,88St,40.679843,-73.85147
5480782,5428872,5513135,5480059,5489630,5471961,90    St-Elmhurst Av,7,90St-ElmhurstAv,40.748408,-73.876613
54183,0,213601,630644,672734,676971,Aqueduct    Racetrack,A,AqueductRacetrack,40.672097,-73.835919
3850546,3871213,3962838,3914637,3926062,3894399,Astoria Blvd,N W,AstoriaBlvd,40.770258,-73.917843
5203409,5233305,5405084,5416919,5407027,5429314,Astoria-Ditmars    Blvd,N W,Astoria-DitmarsBlvd,40.775036,-73.912034
80580,82088,48916,82980,99254,95469,Beach 105 St,A S,Beach105St,40.583209,-73.827559
501037,437602,267585,519843,570312,601116,Beach 25 St,A,Beach25St,40.600066,-73.761353
192676,217880,143400,272799,296860,305816,Beach 36 St,A,Beach36St,40.595398,-73.768175
225250,161946,91331,181758,197543,212440,Beach 44 St,A,Beach44St,40.592943,-73.776013
555937,588970,406698,772376,801015,794595,Beach 60 St,A,Beach60St,40.592374,-73.788522
387012,305397,194416,306284,333006,335515,Beach 90 St,A S,Beach90St,40.588034,-73.813641
198503,193332,100594,200197,214040,203795,Beach 98 St,A S,Beach98St,40.585307,-73.820558
1730276,1563242,1427813,1427017,1479278,1515926,Briarwood-Van    Wyck Blvd,E F,Briarwood-VanWyckBlvd,40.709179,-73.820574
88837,75969,36849,74386,91766,91208,Broad Channel,A S,BroadChannel,40.608382,-73.815925
4007018,4161120,4325297,4407347,4300632,4189306,Broadway,N W,Broadway,40.76182,-73.925508
6334869,5340581,6072768,6664442,6730837,6809217,Court Sq,E G M 7,CourtSq,40.747846,-73.946
4338857,4344648,4343633,4362316,4350714,4268747,Elmhurst Av,M R,ElmhurstAv,40.742454,-73.882017
1426835,1217871,806025,1486147,1576988,1572694,Far    Rockaway-Mott Av,A,FarRockaway-MottAv,40.603995,-73.755405
18967751,19034789,19102434,19085948,19082391,19257879,Flushing-Main    St,7,Flushing-MainSt,40.7596,-73.83003
1172881,1134938,1179301,1235376,1317289,1316296,Forest Av,M,ForestAv,40.704423,-73.903077
8316825,8342293,8573480,8585239,8654547,8581096,Forest    Hills-71 Av,E F M R,ForestHills-71Av,40.721691,-73.844521
1617252,1590304,1534754,1676862,1806429,1831889,Fresh Pond Rd,M,FreshPondRd,40.706186,-73.895877
5721038,5741626,5832568,5861823,5995764,6057028,Grand    Av-Newtown,M R,GrandAv-Newtown,40.737015,-73.877223
928529,1074516,1626984,963503,1041816,1012067,Howard    Beach-JFK Airport,A,HowardBeach-JFKAirport,40.660476,-73.830301
1655252,1704114,1710103,1791109,1848769,1994002,Hunters Point    Av,7,HuntersPointAv,40.742216,-73.948916
6818728,6767423,6868439,6818494,6898938,6783119,Jamaica-179    St,F,Jamaica-179St,40.712646,-73.783817
1527249,1552178,1565998,1587413,1545016,1536716,Jamaica-Van    Wyck,E,Jamaica-VanWyck,40.702566,-73.816859
6963489,6784942,6816700,6946966,7064435,7249912,Junction Blvd,7,JunctionBlvd,40.749145,-73.869527
1729243,1693024,1902121,1875472,2120859,2004343,Mets-Willets    Point,7,Mets-WilletsPoint,40.754622,-73.845625
1220377,1189616,1200171,1300110,1361246,1365048,Middle    Village-Metropolitan Av,M,MiddleVillage-MetropolitanAv,40.711396,-73.889601
2184353,2214223,2239136,2290836,2282296,2264100,Northern Blvd,M R,NorthernBlvd,40.752885,-73.906006
2286542,2246624,2262961,2263109,2224331,2351557,Ozone    Park-Lefferts Blvd,A,OzonePark-LeffertsBlvd,40.685951,-73.825798
1920497,1950852,2035948,2052252,2094007,2063042,Parsons Blvd,F,ParsonsBlvd,40.707564,-73.803326
2550906,2747366,2855006,3005223,3101888,3124028,Queens Plaza,E M R,QueensPlaza,40.748973,-73.937243
3047146,3350219,3569290,3785260,3773168,4105500,Queensboro    Plaza,N W 7,QueensboroPlaza,40.750582,-73.940202
2373967,2446937,2637100,2575171,1729268,2382252,Rockaway Blvd,A,RockawayBlvd,40.680429,-73.843853
286902,251080,135956,231407,255542,250220,Rockaway    Park-Beach 116 St,A S,RockawayPark-Beach116St,40.580903,-73.835592
758144,716729,711011,755026,842069,854251,Seneca Av,M,SenecaAv,40.702762,-73.90774
4930914,4866245,4798179,4807448,4779346,4703321,Steinway St,M R,SteinwaySt,40.756879,-73.92074
1470022,1468970,1550363,1468419,1506607,1414334,Sutphin Blvd,F,SutphinBlvd,40.70546,-73.810708
6839255,6975316,7303038,7633725,7767728,7904869,Sutphin    Blvd-Archer Av-JFK Airport,E J Z,SutphinBlvd-ArcherAv-JFKAirport,40.700486,-73.807969
3170128,3357030,3726974,4169876,4462652,4877185,Vernon    Blvd-Jackson Av,7,VernonBlvd-JacksonAv,40.742626,-73.953581
1357800,1328319,1398536,1505920,1551590,1513298,Woodhaven    Blvd,J Z,WoodhavenBlvd,40.693879,-73.851576
7241776,7157320,7157254,7125205,7120037,7144921,Woodhaven    Blvd,M R,WoodhavenBlvd,40.693879,-73.851576
5382589,5273308,5330760,5356621,5432682,5511564,Woodside-61    St,7,Woodside-61St,40.74563,-73.902984